ENTREZID SYMBOL logFC AveExpr t P.Value adj.P.Val
24117 Wif1 1.81994310357102 2.97554451637415 20.1077980188269 1.06376999354258e-10 1.01623971614813e-06
381290 Atp2b4 -2.14388533952125 3.94406592699308 -19.074951909142 1.98293411239963e-10 1.01623971614813e-06
78896 1500015O10Rik 2.80754753168061 3.03651949599822 18.5477299539774 2.75882809721056e-10 1.01623971614813e-06
226101 Myof -2.32974392966638 6.22352456183714 -18.2686065016479 3.29766662710204e-10 1.01623971614813e-06
16012 Igfbp6 -2.89611515497497 1.97844875752276 -18.2152473015022 3.41306640665949e-10 1.01623971614813e-06
231830 Micall2 2.25339982481145 4.76059696752856 18.0262686035302 3.85816141286305e-10 1.01623971614813e-06
16669 Krt19 -2.31272074376764 8.74189184060236 -17.0793718856914 7.26454790911665e-10 1.64012735936685e-06
55987 Cpxm2 -1.51546863348474 2.8345119413149 -16.6433318380128 9.82987025228932e-10 1.71870346311332e-06
231991 Creb5 -2.59810458251622 4.27592952345113 -16.5363425141076 1.05988541472162e-09 1.71870346311332e-06
14620 Gjb3 3.60009376671151 3.52528050769349 16.4662668173679 1.11375541516977e-09 1.71870346311332e-06
211577 Mrgprf -5.14626842050727 -0.936833491489371 -16.3657336122687 1.19626285081287e-09 1.71870346311332e-06
20317 Serpinf1 1.710379971561 3.3888348962286 15.7728039654617 1.83872691906824e-09 2.35635077400756e-06
74747 Ddit4 2.18037012538574 6.8647911022832 15.7014468228816 1.93827892065922e-09 2.35635077400756e-06
270150 Ccdc153 -3.21114827988465 -1.34083881791359 -15.5012570296027 2.2499313418396e-09 2.53985106617379e-06
11636 Ak1 2.76674499153781 4.30347461536789 15.2769363807754 2.66464029851162e-09 2.80746501851184e-06
20482 Skil 1.88756079716885 8.49892507013266 14.6548839103001 4.3113343841983e-09 4.25852053799187e-06
194126 Mtmr11 -1.7089733203604 2.50804119325202 -14.4874589479201 4.92292834300152e-09 4.57658585487036e-06
21953 Tnni2 -5.82788863265927 0.302071586676651 -14.40326587713 5.26527789166982e-09 4.6229139888861e-06
12992 Csn1s2b -6.07014263352471 3.56295004142591 -14.1656533788405 6.37760388493909e-09 5.13127622202877e-06
17131 Smad7 1.97277123486981 6.71751901983883 14.1434805256437 6.49364239689796e-09 5.13127622202877e-06
20564 Slit3 -1.33143737986022 3.44179493399924 -13.8852225065727 8.02627860977436e-09 6.04034795947019e-06
16878 Lif 3.73893325921556 6.68203416650215 13.7334381938958 9.10570818874936e-09 6.54120964613613e-06
170761 Pdzd3 -3.31364787941005 -0.0601930586310906 -13.6237237638369 9.98298474420834e-09 6.58051217108058e-06
73847 Fam110a 1.47467090878791 6.84086068344673 13.622510029041 9.99318477005403e-09 6.58051217108058e-06
12977 Csf1 2.83562374639041 7.4775909421709 13.4190194807555 1.18729979920611e-08 7.50563441066133e-06
12654 Chil1 2.34291447312525 5.57645723604579 13.2197627736827 1.4087596605101e-08 8.30659524554302e-06
545370 Hmcn1 -1.56742438255758 3.10302591282644 -13.190528498202 1.44483187321301e-08 8.30659524554302e-06
60599 Trp53inp1 -1.258670931154 6.11839604978039 -13.1624129645772 1.48046354971742e-08 8.30659524554302e-06
217166 Nr1d1 2.27887939443659 6.26087761383724 13.1288502622277 1.52424235712951e-08 8.30659524554302e-06
67111 Naaa -2.5385964096814 3.29074574604293 -13.0408250936764 1.64582339336465e-08 8.52495704065727e-06
232016 Ccdc129 -2.59704434679791 5.00471484116641 -13.0226568497188 1.67219481308767e-08 8.52495704065727e-06
76123 Gpsm2 -2.17189594243266 4.99093471974964 -12.7634378884852 2.10239744961105e-08 1.01575074018789e-05
329739 Fam102b -1.52029112638995 4.18813046970528 -12.7535712137112 2.12096775665656e-08 1.01575074018789e-05
79362 Bhlhe41 1.78860123725529 6.1836849410102 12.7050442456097 2.21490795832156e-08 1.02954133450923e-05
50786 Hs6st2 1.7513404533859 0.539535996525832 12.4309664567977 2.83691936124994e-08 1.28099067386269e-05
18019 Nfatc2 -2.01180757857908 5.79499693194691 -12.2756143350047 3.27106669005657e-08 1.41944450718027e-05
67971 Tppp3 -2.65339801437433 4.90816304728091 -12.2284548118427 3.41661607135064e-08 1.41944450718027e-05
235542 Ppp2r3a -1.10915597439346 6.5010594105959 -12.2204082440129 3.44213902440756e-08 1.41944450718027e-05
74134 Cyp2s1 -2.07146867497747 1.40704575239797 -12.201536968797 3.50280535181159e-08 1.41944450718027e-05
20677 Sox4 1.52240538027464 7.46932834590839 12.1354807933322 3.72438890705754e-08 1.46210906999682e-05
